オルコット／恩地三保子訳;1839;1526;253126;144589;7513;2508;100.93;33.50;8.76;552130;5463.10;7489.05;10927.45;76.15;77.05;77.19;75.80
オーウェル／佐山栄太郎訳;1600;1249;67790;41111;1971;351;193.13;34.23;2.54;144242;6735.54;8766.60;12508.17;69.11;68.64;70.24;69.66
オーウェル／高畠文夫訳;1875;1559;242834;141526;5627;642;378.25;42.60;8.82;525075;6846.93;8969.40;12201.41;67.88;69.03;68.84;67.70
オースティン／ハーディング祥子訳;1675;1413;395779;228144;12772;2483;159.40;30.84;13.80;853423;3079.33;4306.25;6351.83;76.75;76.76;77.48;77.47
オースティン／伊吹知勢訳;1479;1229;310863;175731;8072;2175;142.93;38.42;10.77;653794;4182.62;5639.01;7969.42;75.76;66.60;71.10;72.38
ガボリオ／松村喜雄訳;1911;1583;238224;137072;9184;3324;71.67;25.84;8.52;516869;5897.54;7773.53;10778.35;72.93;73.46;73.80;74.36
ガードナー／中田耕治訳;1303;1028;175533;100741;7387;3390;51.78;23.74;5.89;390461;2861.60;4060.32;6148.76;74.92;78.28;79.11;80.42
ガードナー／池央耿訳;1754;1432;160616;92148;7329;2893;55.52;21.80;5.62;354114;5491.50;7361.41;10546.46;69.53;71.27;70.72;71.81
ガードナー／田中西二郎訳;1648;1297;156344;90343;5566;2330;67.10;28.04;5.42;343571;4628.10;6349.94;9716.05;73.24;75.22;75.14;74.94
ガードナー／能島武文訳;2043;1744;735709;425181;27144;12366;59.49;27.03;25.30;1660121;4457.09;6172.51;9046.56;77.57;78.57;79.14;78.66
ガードナー／鮎川信夫訳;1323;1061;163037;93145;6175;3192;51.08;26.34;5.69;358766;3913.20;5327.90;7548.45;75.43;75.79;76.70;77.26
カヴァン;1793;1480;141935;90507;5865;1184;119.88;24.11;5.44;307539;4564.40;5993.15;8209.73;71.19;70.85;70.85;70.99
カザノヴァ／田辺貞之助訳;2384;2066;798659;472294;23581;6040;132.23;33.78;28.75;1715145;5343.14;7295.84;10761.67;74.41;73.72;74.29;74.30
カフカ／中井正文訳;1533;1180;114002;66600;2966;691;164.98;38.32;4.11;245059;4913.03;6534.53;9281.02;75.37;77.20;76.37;75.35
カフカ／中野孝次訳;1667;1365;224778;134373;5391;1603;140.22;41.39;8.18;480389;3658.74;5006.94;7356.10;71.30;72.82;71.77;70.75
カフカ／川崎芳隆訳;1228;898;66160;37644;1623;299;221.27;40.69;2.34;141752;5603.80;7544.85;10591.90;74.41;71.54;72.68;72.48
カフカ／谷友幸訳;2333;1976;638664;378372;15093;1902;335.79;42.17;22.98;1413968;5308.43;7327.88;10333.25;75.13;78.98;78.08;75.64
カフカ／飯吉光夫訳;1616;1285;186692;109049;5588;242;771.45;33.09;6.65;404718;3896.40;5350.75;7987.88;74.76;72.65;72.12;72.36
カポーティ／龍口直太郎訳;1621;1281;136564;78007;4058;1101;124.04;33.40;4.68;295241;6542.90;8760.46;12451.95;77.28;77.40;78.10;77.19
カミュ／窪田啓作;1567;1225;83045;51541;2829;263;315.76;29.21;3.09;182913;4683.43;6513.73;9548.15;71.12;72.38;72.15;71.52
カーソン／青樹簗一;1670;1405;214316;124330;5406;879;243.82;39.04;7.87;459538;10230.47;13517.25;18959.43;63.96;65.16;64.35;63.95
カー／仁賀克雄訳;1600;1285;144694;82647;6656;2587;55.93;21.67;5.03;316213;5595.90;7312.17;9903.95;71.89;72.81;72.74;74.00
カー／宇野利泰訳;2141;1816;402095;234222;15278;5402;74.43;26.18;14.24;886110;4591.63;6261.40;8903.87;74.30;74.69;74.73;74.98
カー／平井圭一訳;1976;1545;233417;135738;7078;2043;114.25;32.81;8.16;513832;6774.83;9346.73;13353.97;76.44;77.44;77.53;76.57
カー／長谷川修二訳;1836;1473;174825;105049;7837;2821;61.97;22.10;6.19;387311;4293.20;5877.35;8325.87;73.37;74.41;73.96;74.32
ギブスン;2067;1730;197872;110321;9744;4467;44.30;19.97;6.84;437756;10359.78;13522.68;18665.29;67.93;68.16;67.41;67.61
キェルケゴオル／芳賀檀訳;1671;1321;152543;97050;3992;394;387.16;38.06;5.89;329629;4540.30;6833.86;10276.15;67.75;69.58;69.20;67.85
キャロル／多田幸蔵訳;1659;1318;176846;98703;6579;2983;59.28;25.79;6.00;386230;5781.45;7996.93;11618.95;77.02;77.83;77.33;77.01
キャロル／柳瀬尚紀訳;1771;1439;163828;93220;6772;2353;69.63;23.56;5.74;361332;6062.77;7931.74;11398.15;77.35;76.44;76.28;77.07
キャロル／福島正実訳;1110;808;72542;41508;2813;1010;71.82;25.42;2.48;161058;3938.68;5393.51;8067.02;79.94;79.65;79.60;79.03
グィン;1550;1280;162885;98317;5408;1189;136.99;29.97;5.84;355058;5652.65;7544.48;10554.30;74.77;78.63;77.09;75.75
グリム兄弟／塚越敏訳;1405;1133;182853;110649;6438;2801;65.28;28.37;6.54;405370;4154.82;5812.77;8513.05;80.13;82.37;79.97;79.57
クイーン／二宮佳景訳;1744;1396;168456;100899;7243;2348;71.74;23.17;6.08;376113;4575.60;6290.85;9023.08;70.48;70.93;70.70;71.05
クイーン／田村隆一訳;2407;2113;973958;558147;31563;9875;98.63;30.73;34.19;2155378;5777.18;7688.20;10724.33;72.75;73.55;73.50;72.81
クイーン／真野明裕訳;1637;1309;137614;78354;5178;1492;92.23;26.46;4.78;302253;6320.45;8323.54;11601.45;74.88;75.94;75.92;75.82
クイーン／石川年訳;2518;2257;1984772;1140330;75550;22992;86.32;26.15;69.62;4433270;6128.86;8165.23;11492.27;74.27;75.77;75.52;75.04
クラーク;2151;1867;427609;259080;12398;3602;118.71;34.23;15.63;926173;5529.19;7260.25;10054.33;70.79;71.58;72.08;71.45
クラーク・アシュトン・スミス／大瀧啓裕訳;2302;1978;233174;135740;5235;1394;167.27;44.21;8.57;493437;9663.13;12098.08;16443.07;69.19;70.74;71.10;69.19
クリスティ／一ノ瀬直二訳;1637;1336;205198;115556;9224;3232;63.49;22.14;7.11;450765;3789.92;5242.77;7486.55;75.87;76.17;76.99;78.35
クリスティ／中村妙子訳;1634;1325;200424;115519;8146;3229;62.07;24.54;6.94;437949;4006.00;5787.38;8574.50;78.00;76.41;78.19;79.57
クリスティ／古賀照一訳;1442;1141;146238;85977;7288;3164;46.22;19.95;5.24;329714;3046.23;4246.01;6169.22;72.87;73.13;72.98;73.90
クリスティ／各務三郎・静波尋訳;1032;762;68435;37726;3384;1375;49.77;20.16;2.28;152512;3200.30;4457.08;6412.88;78.28;76.76;78.57;79.93
クリスティ／各務三郎訳;1089;855;90147;50058;4078;1534;58.77;22.04;3.00;200051;3932.57;5436.94;8180.85;79.48;76.79;79.41;80.77
クリスティ／小西宏訳;1892;1594;321597;183131;13828;5040;63.81;23.04;11.18;710805;5872.00;7848.88;11087.50;75.34;75.19;75.73;76.75
クリスティ／山崎昂一訳;1110;778;47364;27638;1647;463;102.30;28.70;1.67;102608;4591.87;6055.65;8501.06;77.07;75.45;77.82;78.85
クリスティ／川崎淳之助 他訳;1281;956;66303;38617;2510;631;105.08;26.32;2.36;144477;3787.20;5239.30;7889.20;75.75;75.62;76.64;77.43
クリスティ／松本恵子訳;2354;2081;1184269;711188;48758;21502;55.08;24.20;42.60;2612843;3981.12;5378.62;7848.98;74.60;74.96;74.72;75.25
クリスティ／河野一郎他訳;1324;958;58174;34261;2531;876;66.41;22.91;2.08;128784;3775.05;5141.15;7471.55;75.52;75.62;75.90;76.73
クリスティ／深町眞理子訳;1666;1327;165527;92828;6568;2274;72.79;25.11;5.69;364928;5035.10;6964.40;10028.20;77.27;75.35;77.11;78.27
クリスティ／清水俊二訳;1415;1117;124106;71802;6206;3018;41.12;19.72;4.30;273639;3267.70;4510.78;6441.85;75.92;76.44;76.90;78.74
クリスティ／田中潤司・早川節夫訳;1367;1050;105251;60769;5105;2285;46.06;20.56;3.66;234907;3644.40;4817.45;7010.65;77.17;77.09;77.44;78.61
クリスティ／能島武文;1983;1673;538495;306387;20923;8161;65.98;25.62;18.51;1216828;3760.16;5098.55;7902.52;80.99;80.44;81.82;81.91
クリスティ／西川清子訳;1520;1218;192866;111042;8766;4471;43.14;21.96;6.64;425050;3556.55;4823.02;7144.70;77.30;78.42;78.86;80.03
クリスティ／赤冬子訳;1963;1660;356862;205130;12888;5143;69.39;27.49;12.33;768222;4085.53;5586.65;8138.02;76.52;75.54;76.99;78.04
クレランド／江藤潔訳;1720;1367;189273;106517;3668;636;297.60;51.41;6.76;401508;6428.68;8748.03;12049.70;73.60;74.39;73.88;72.49
クロウリー;1513;1209;197813;116346;7028;1887;104.83;28.01;7.04;430640;4246.73;5802.65;8077.97;79.26;80.57;80.11;79.99
クロフツ／田村隆一訳;1695;1408;321934;186712;7833;3104;103.72;41.00;11.30;703753;4883.63;6391.37;8769.80;73.26;73.90;74.51;73.22
クロフツ／長谷川修二訳;1699;1401;192578;116150;5929;1793;107.41;32.27;7.02;415812;4363.51;5786.48;8181.30;69.98;70.92;71.22;70.70
クーパー;2152;1900;820729;479993;32952;8812;93.14;24.75;28.83;1796277;5560.48;7298.32;10216.50;76.41;79.29;78.25;77.87
ゲーテ／井上正蔵訳;1859;1515;170214;95034;6153;2550;66.75;26.51;5.89;361261;6251.80;8625.83;12176.20;75.58;75.60;75.44;75.62
ゲーテ／森鴎外訳;2694;2270;238735;148535;18265;15459;15.44;12.90;9.06;517068;8554.80;11637.55;16939.35;75.39;70.12;71.50;74.27
