sukinara;2069;1835;1238443;685809;85195;56305;22.00;13.92;42.10;2930318;3228.64;4474.42;6723.62;86.46;87.01;85.83;85.17
summer pockets;2115;1848;686283;407996;63937;57625;11.91;10.64;24.50;1711511;3754.20;5511.91;8257.20;87.65;88.89;87.97;89.68
tarareba;1797;1553;462740;263306;32798;20984;22.05;13.94;16.43;1098004;2701.67;3666.95;5445.55;83.49;83.27;83.61;83.09
trinoline;1954;1692;495438;287809;34375;26522;18.68;14.31;18.14;1195563;2642.96;3609.71;5361.45;85.21;84.57;84.91;84.94
tsujidou-san no jun'ai road;2269;2019;1159724;656009;102403;78598;14.76;11.18;40.49;2783014;5193.59;7142.62;10308.76;78.61;75.67;76.25;77.90
tsujidou-san no virgin road;2064;1802;649154;369377;54690;42858;15.15;11.72;22.70;1553124;4985.60;6880.93;10150.30;78.43;76.00;76.64;78.00
tsuriotsu;2390;2102;1053271;637552;60946;30444;34.60;17.19;38.67;2388922;3250.97;4594.48;7043.25;81.78;81.36;81.40;81.33
tsuushinbo;1866;1617;612627;344763;44156;27811;22.03;13.66;21.70;1453184;2516.61;3367.62;5022.18;89.68;90.99;89.87;89.16
twinklecrusaders;2586;2313;1504925;856148;116844;77205;19.49;12.71;52.75;3600579;5358.97;7354.73;10578.42;77.97;76.20;77.11;77.50
tyrhhia;2604;2206;295145;179000;18314;11773;25.07;15.71;11.36;661103;10734.75;13882.75;18986.50;63.85;62.59;61.57;62.62
white_album;1831;1481;425614;251896;31841;26146;16.28;13.31;15.59;1008614;2603.59;3770.21;5720.65;83.62;82.99;83.49;84.71
yoakena;2134;1902;802113;467812;60023;59051;13.58;13.31;29.25;1945323;3488.03;4780.68;7093.70;83.38;82.21;83.15;83.60
