n2600df;寄生してレベル上げたんだが、育ちすぎたかもしれない;257;2079;1777;457692;268246;22773;15178;30.15;19.96;16.34;1011632;3836.96;5341.67;7675.96;81.51;81.86;81.11;81.27
n2627t;黒の魔王;60;2789;2615;4073743;2381031;144685;98487;41.36;28.01;149.99;9004103;6282.33;8226.35;11076.69;75.84;75.73;76.10;75.39
n2662ca;田中のアトリエ　～年齢イコール彼女いない歴の錬金術師～;95;2609;2397;2076373;1214319;98583;63310;32.80;20.86;76.24;4580787;5685.88;7625.09;10834.04;79.27;79.12;79.28;79.29
n2671do;魔王になったので、ダンジョン造って人外娘とほのぼのする;249;2430;2244;996972;598773;44540;29098;34.26;22.25;36.89;2257609;4264.85;5855.39;8451.70;78.08;79.79;79.80;79.06
n2674cv;地龍のダンジョン奮闘記！;x;2380;2162;1202305;705194;73353;55433;21.69;16.30;43.96;2746439;4467.99;6029.11;8526.12;77.43;76.88;77.26;77.47
n2710db;とんでもスキルで異世界放浪メシ;5;2247;2017;1406069;804181;63361;51190;27.47;21.89;47.64;3082804;6064.00;8223.48;11788.50;77.64;77.31;76.07;76.32
n2713ev;外れスキル「影が薄い」を持つギルド職員が、実は伝説の暗殺者;186;2037;1803;413720;245608;24694;17615;23.49;16.66;14.91;952203;4621.71;6334.08;9101.51;79.02;78.86;78.92;79.14
n2721ek;宿屋の倅、時空間魔術に目覚める　～真の勇者とか結構ですので宿屋やらせて～;173;2222;1935;433135;260339;24721;15965;27.13;17.31;16.59;972448;4876.30;6641.35;9133.22;75.49;75.17;74.74;75.07
n2740ca;異世界の迷宮都市で治癒魔法使いやってます;245;2027;1745;478024;283651;22703;19302;24.77;21.00;17.39;1067022;3413.25;4612.12;6733.00;79.44;79.94;79.99;79.60
n2766dz;悪役令嬢なのでラスボスを飼ってみました;159;2149;1914;610666;349746;33090;18619;32.80;18.37;21.89;1369355;5084.23;6648.70;9025.96;80.12;79.97;79.77;80.20
n2872bw;軍オタが魔法世界に転生したら、現代兵器で軍隊ハーレムを作っちゃいました！？;114;2668;2449;2154336;1266487;92486;68860;31.29;22.80;79.44;4724976;5364.89;7080.36;9894.78;71.59;71.45;71.06;71.33
n2959bs;勇者パーティーにかわいい子がいたので、告白してみた。;x;2006;1785;852406;512178;46622;33299;25.60;18.24;30.62;1908776;3174.36;4351.66;6483.11;81.64;81.79;81.03;81.55
n2964cz;くじ引き特賞：無双ハーレム権;206;2187;1955;878991;515007;54796;44506;19.75;15.95;31.51;1990561;4334.76;5897.78;8287.23;81.03;81.25;80.75;81.06
n3009bk;盾の勇者の成り上がり;11;2589;2413;3432119;2104367;189100;138380;24.80;18.02;125.97;7600955;4212.30;5779.38;8307.23;80.36;79.88;79.96;80.36
n3039bm;誰かこの状況を説明してください;110;2118;1872;709947;411033;34233;20038;35.43;20.53;25.36;1569652;5211.74;7200.78;10319.47;80.51;80.34;79.97;80.26
n3040bl;タナカの異世界成り上がり;x;2162;1913;496098;290651;23706;9880;50.21;20.60;17.88;1070278;5039.40;6621.56;9070.17;78.24;77.77;77.98;78.29
n3043bv;聖樹の国の禁呪使い;267;2171;1926;551988;328291;31454;24009;22.99;17.46;20.25;1251466;4909.68;6503.93;9330.49;78.82;78.43;78.80;78.90
n3059ch;お前みたいなヒロインがいてたまるか！;185;2133;1941;924113;581967;37375;26085;35.43;24.60;35.41;2012462;3895.51;5432.77;7832.61;77.74;77.69;78.20;78.15
n3102y;ネトオク男の楽しい異世界貿易紀行;135;2432;2138;907415;529923;45066;28024;32.38;19.77;31.88;1997937;5102.77;7014.40;10377.37;78.68;78.28;78.18;78.47
n3125cg;異世界料理道;130;2717;2552;6560271;3818117;249867;150997;43.45;25.80;228.95;14382282;6619.70;8832.68;12158.84;81.33;82.54;80.26;79.91
n3148ex;世界最高の暗殺者、異世界貴族に転生する;81;2064;1832;452482;266239;21529;14918;30.33;20.95;16.81;996516;4300.07;5664.97;7971.90;78.36;78.18;78.53;78.48
n3191eh;乙女ゲー世界はモブに厳しい世界です;96;2061;1854;885243;533003;51980;34699;25.51;16.92;32.25;1979419;3755.01;5009.46;7272.75;79.32;78.77;78.98;79.38
n3250cl;セブンス;141;2163;2009;1964706;1199022;102468;59747;32.88;19.09;72.15;4364053;3113.02;4146.02;5774.83;78.68;78.51;78.74;78.82
n3254cl;嫌われ者始めました〜転生リーマンの領地運営物語〜;274;2409;2167;665855;393429;30575;13756;48.40;21.69;24.24;1446640;7113.44;9484.88;13112.62;74.83;73.87;74.41;74.86
n3289ds;異世界のんびり農家;19;2303;2110;1421704;861868;84537;82623;17.21;16.73;52.58;3166537;4794.83;6485.62;9055.68;77.21;75.96;76.11;76.96
n3353fc;難関ダンジョン最深部で勇者パーティから追放された三流冒険者ですが、【修復】スキルが万能チート化して脱出できたので、足を洗って武器屋でも開こうかと思います;219;2250;2010;684236;407589;27502;19442;35.19;24.79;25.69;1500980;5428.25;7001.51;9447.07;75.51;75.58;75.52;75.41
n3386db;無欲の聖女は金にときめく;293;2458;2242;843298;493667;35372;24221;34.82;23.75;30.94;1893352;6768.50;8885.12;12080.64;79.95;80.46;80.59;79.97
n3406ek;異世界で土地を買って農場を作ろう;162;2545;2298;962144;555783;49084;38016;25.31;19.44;35.13;2140292;7521.73;9686.23;13254.57;75.69;74.71;75.21;75.63
n3406u;理想のヒモ生活;53;2221;2004;630625;376613;20367;12911;48.84;30.84;24.25;1384857;6246.25;8147.88;11220.26;69.76;71.76;70.90;70.11
n3420cm;傭兵団の料理番;140;2219;1935;470405;281038;26405;18092;26.00;17.74;17.16;1051130;4752.44;6550.91;9082.00;81.40;81.53;81.39;81.55
n3428fa;異世界賢者の転生無双　～ゲームの知識で異世界最強～;77;1358;1170;159988;94587;7692;5799;27.59;20.49;5.75;360093;3011.45;3897.43;5522.47;77.29;77.61;77.89;77.82
n3448eb;社畜ダンジョンマスターの食堂経営  〜断じて史上最悪の魔王などでは無い！！〜;154;2071;1789;331844;198516;15481;11007;30.15;21.28;12.27;730288;4043.50;5376.12;7595.58;77.99;78.11;78.27;78.31
n3490ee;航宙軍士官、冒険者になる;202;2078;1846;629212;374771;32832;16945;37.13;18.99;22.89;1382049;4513.95;6178.89;8839.53;77.76;77.09;77.43;77.79
n3512ds;回復術士のやり直し～即死魔法とスキルコピーの超越ヒール～;69;2169;1985;713421;425442;36652;24951;28.59;19.39;26.68;1573455;4292.59;5744.23;8002.64;79.24;79.20;79.52;79.62
n3527ei;真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました;38;2217;1924;485128;286841;21307;15373;31.56;22.58;17.42;1061646;4966.90;6663.83;9393.32;77.69;77.36;77.77;77.67
n3556o;Knight's & Magic;22;2521;2313;1301235;769698;52700;31716;41.03;24.52;49.30;2835836;6167.19;7969.48;10889.13;74.85;75.13;74.27;74.36
n3677bw;張り合わずにおとなしく人形を作ることにしました。;x;1966;1611;180013;105071;8627;6473;27.81;20.66;6.55;392124;5602.10;7447.79;10390.05;81.92;81.22;80.88;81.55
n3716bh;Hunter and Smith Online;300;2056;1803;597839;346114;25752;18856;31.71;22.32;21.16;1293543;5108.62;6907.87;9567.25;74.36;74.53;75.05;74.99
n3722ev;ここは俺に任せて先に行けと言ってから10年がたったら伝説になっていた。;51;1798;1578;503828;297588;32153;25250;19.95;15.60;17.93;1134892;3156.40;4099.10;5727.60;78.27;77.81;77.74;78.26
n3726bt;レジェンド;24;2713;2568;10298700;6311555;366045;240987;42.74;28.00;376.42;22315688;2941.70;3954.39;5734.31;78.45;78.56;78.71;77.84
n3730bn;まのわ ～魔物倒す・能力奪う・私強くなる～;214;2646;2489;4260268;2503573;176363;96422;44.18;23.99;151.97;9285062;5254.14;7361.43;10421.95;75.75;75.19;76.03;75.63
n3830dd;村人ですが何か？;76;2175;1950;414217;249049;24796;15330;27.02;16.45;15.25;938416;5764.90;7521.94;10374.24;75.88;75.14;75.36;75.68
n3840bt;異世界魔法は遅れてる！;98;2729;2474;1280259;754880;58280;31608;40.50;21.80;47.62;2841133;6165.70;8247.91;11445.93;80.70;80.23;79.72;79.98
n3876bm;ディンの紋章 ～魔法師レジスの転生譚～;283;2609;2383;1215155;730046;73586;65732;18.49;16.45;45.65;2721081;6521.12;8403.50;11221.65;79.11;78.02;78.16;78.68
n3877cq;カンナのカンナ　異端召喚者はシナリオブレイカー;x;2453;2218;922217;558214;38731;21825;42.26;23.62;34.94;2026154;5472.38;7096.79;9622.67;75.46;76.16;76.02;75.85
n3902dc;ラスボスの向こう側～最強の裏ボス＝邪神に転生したけど、１０００年誰も来ないから学園に通うことにした～;255;1925;1667;394905;228509;22822;18406;21.46;17.16;14.08;869835;4210.00;5735.90;8175.83;78.86;78.51;78.56;79.22
n3920by;村人転生～最強のスローライフ;x;2606;2382;2054568;1226128;121599;67974;30.23;16.81;73.49;4614336;5216.09;7122.51;10444.93;77.47;78.68;77.81;77.73
n3930eh;狼は眠らない;197;2178;1967;1186327;709011;59579;35335;33.57;19.85;43.71;2617966;4703.63;6488.76;9267.14;77.27;77.26;77.89;77.61
n4006r;ラピスの心臓;200;2458;2265;1193408;714824;48863;31914;37.39;24.34;44.85;2614658;6140.02;7887.26;10707.14;79.53;80.21;80.33;79.98
n4014ds;ＶＲＭＭＯの支援職人　～トッププレイヤーの仕掛人～;237;2605;2386;2152727;1250465;114906;78534;27.41;18.18;76.15;4828588;5316.91;7226.21;10445.15;77.41;76.75;77.12;77.47
n4029bs;謙虚、堅実をモットーに生きております！;9;2444;2188;984241;595170;49641;28148;34.97;19.74;36.69;2174873;6660.15;9131.95;13348.30;78.13;77.40;77.84;78.01
n4045ed;最強職《竜騎士》から初級職《運び屋》になったのに、なぜか勇者達から頼られてます;88;1782;1529;299332;182946;15211;9249;32.36;19.58;11.08;676705;3378.83;4555.03;6681.31;79.40;79.66;79.95;79.64
n4054by;進化の実～知らないうちに勝ち組人生～;34;2121;1958;868843;514032;47205;29767;29.19;18.19;31.41;1987213;3507.05;4683.22;6708.05;79.11;78.91;79.08;79.23
n4072er;王女殿下はお怒りのようです＜WEB版＞;248;2075;1825;394213;231892;15810;9608;41.03;24.84;14.27;863317;4798.76;6428.98;8839.70;77.94;77.94;78.23;77.86
n4076cm;マヌケなFPSプレイヤーが異世界へ落ちた場合;152;2379;2136;1000110;592820;33659;19378;51.61;29.09;37.00;2162252;6861.70;9184.78;12911.67;70.10;71.09;70.64;70.06
n4128bn;奪う者　奪われる者;63;2530;2344;1411402;832281;68278;40181;35.13;20.30;50.08;3124939;5283.59;6934.06;9618.89;76.44;75.63;75.83;76.09
n4138ck;夜伽の国の月光姫;x;2317;2060;517175;304812;21323;10649;48.57;24.15;19.01;1143161;5705.96;7432.18;10200.95;77.93;78.88;78.91;78.14
n4147dw;はぐるまどらいぶ。;x;2431;2215;1837674;937535;153092;121308;15.15;10.91;58.26;4528352;6901.51;9551.74;13110.00;77.78;77.93;76.86;77.35
